fileName,className,classNumber,fold
alarma1.wav,alarm,0,0
alarma3.wav,alarm,0,2
alarma5.wav,alarm,0,1
alarma6.wav,alarm,0,0
alarma8.wav,alarm,0,0
alarma9.wav,alarm,0,0
alarma10.wav,alarm,0,1
alarma11.wav,alarm,0,2
alarma17.wav,alarm,0,1
alarma13.wav,alarm,0,1
alarma14.wav,alarm,0,2
alarma15.wav,alarm,0,3
alarma17.wav,alarm,0,3
alarma18.wav,alarm,0,3
alarma19.wav,alarm,0,2
alarma20.wav,alarm,0,3
golpe1.wav,seat,1,2
golpe2.wav,seat,1,1
golpe3.wav,seat,1,0
golpe4.wav,seat,1,1
golpe5.wav,seat,1,2
golpe6.wav,seat,1,3
golpe8.wav,seat,1,1
golpe9.wav,seat,1,3
golpe10.wav,seat,1,0
golpe11.wav,seat,1,2
golpe12.wav,seat,1,3
golpe13.wav,seat,1,0
golpe15.wav,seat,1,2
golpe17.wav,seat,1,1
golpe19.wav,seat,1,3
golpe20.wav,seat,1,0
maleta1.wav,luggage,2,1
maleta2.wav,luggage,2,3
maleta3.wav,luggage,2,1
maleta4.wav,luggage,2,3
maleta5.wav,luggage,2,0
maleta6.wav,luggage,2,2
maleta7.wav,luggage,2,1
maleta9.wav,luggage,2,0
maleta10.wav,luggage,2,1
maleta12.wav,luggage,2,2
maleta13.wav,luggage,2,0
maleta14.wav,luggage,2,2
maleta15.wav,luggage,2,2
maleta18.wav,luggage,2,0
maleta19.wav,luggage,2,3
maleta20.wav,luggage,2,3
